Job Title,Company,Location,Salary,Skills,Posted Date
Customer Service Associate,Elevate X Solutions,Mumbai,"₹ 2,50,000 - 2,90,000",English Proficiency (Spoken),Few hours ago
Client Engagement Executive,Hello Mentor Pvt Ltd,Bangalore,"₹ 4,00,000 - 5,00,000","Client Interaction, Kannada Proficiency (Spoken), Interpersonal skills, Effective Communication, Customer Acquisition",Few hours ago
Junior Software Tester,Infotech.Works,"Pune, Pimpri-Chinchwad","₹ 2,00,000 - 4,00,000","Manual Testing, Database Testing, Jira, APIs",Today
Client Acquisition Executive,Stareye Media & Entertainment Private Limited,"Ambala, Chandigarh, Ludhiana, Mohali, Himachal Pradesh","₹ 2,30,000 - 3,16,000","MS-Excel, English Proficiency (Written), Hindi Proficiency (Spoken)",Today
Forex Trader,Trading Fox Private Limited,Jaipur,"₹ 2,00,000 - 2,50,000","Data Analytics, Market Analysis, Technical Analysis, Risk Management",Today
Corporate Sales Associate,Higher Education Centre,Delhi,"₹ 2,02,500 - 4,50,000",English Proficiency (Spoken),Few hours ago
Logistics Coordinator (Fresher),Synchron Global One Source Private Limited,Ahmedabad,"₹ 3,00,000 - 3,50,000","Vendor Management, Logistics Management",Today
Accountant,Countai Private Limited,"Coimbatore, Erode, Kanjanoor, Kerala Estate, Tamilpadi","₹ 2,40,000 - 3,60,000","MS-Office, Accounting, Tally, MS-Excel, Financial Analysis, Bank Reconciliation, Zoho Books",Today
Crypto Trader,Trading Fox Private Limited,Jaipur,"₹ 2,00,000 - 2,50,000","Data Analytics, Market Analysis, Technical Analysis, Risk Management",Today
Paid Ads Specialist (Google Ads And Meta Ads),ViralChilly,Jaipur,"₹ 2,16,000 - 3,60,000","Copywriting, Canva, Facebook Ads, A/B Testing, Conversion Rate Optimization",Today
Customer Service Executive (Inbound Process) – International Voice Process,MissRaze Staffing And Consulting Services LLP,Delhi,"₹ 2,50,000 - 3,00,000","Problem Solving, Client Relationship Management (CRM), Client Relationship, English Proficiency (Spoken), Effective Communication, Customer Support",Few hours ago
Business Analyst,ViralChilly,Jaipur,"₹ 3,00,000 - 6,00,000","WordPress, Digital Marketing, Search Engine Optimization (SEO), MS-Excel, Scrum, Web development, English Proficiency (Spoken)",Today
Junior Human Resources (HR) Associate,Vision Systems,Pune,"₹ 2,10,000 - 2,40,000","MS-Office, Recruitment, MS-Word, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Onboarding",Today
N8n/API Automation Executive,Adwallz Outdoor Advertising Private Limited,Mumbai,"₹ 3,00,000 - 6,00,000","Python, SQL, Client Relationship Management (CRM), JSON, Automation, Postman, APIs",Today
Relationship Manager,TradeCred,Mumbai,"₹ 3,00,000 - 3,50,000","English Proficiency (Spoken), Sales, Effective Communication",Today
Sales Executive,Celestial Aqua Exim,Delhi,"₹ 3,00,000 - 5,00,000","Email Marketing, MS-Excel, English Proficiency (Spoken)",Few hours ago
Business Development Associate ( Field Sales ),Heterize Infotech Private Limited,Surat                                                                    (Hybrid),"₹ 2,01,000 - 2,55,000","Negotiation, Sales Management, Effective Communication",1 day ago
Junior Front End Developer,SaffireTech,"Palghar, Thane, Mumbai","₹ 3,24,000 - 4,00,000","HTML, CSS, JavaScript, jQuery, Bootstrap, Frontend development, Responsive Design",Today
Business Development Associate,Codeyoung,Himachal Pradesh,"₹ 8,36,000 - 13,00,000","Negotiation, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)",1 day ago
Digital Marketing Specialist,Brandbase Capsule Private Limited,Mumbai,"₹ 2,00,000 - 3,00,000","Digital Marketing, Google AdWords, Web development, Deep Learning, Artificial intelligence",Few hours ago
AI Automation Platform Workflow Executive,Adwallz Outdoor Advertising Private Limited,Mumbai,"₹ 3,00,000 - 3,60,000","Software Testing, Data Analytics, Artificial intelligence, Debugging, Claude, Test Automation, GitHub Copilot (GenAI)",Today
Field Sales Executive,PanoCrafts,Indore,"₹ 2,00,000 - 4,00,000","Negotiation, MS-Excel, Client Relationship Management (CRM), Lead Generation, Sales, Effective Communication, Field Sales",1 day ago
E-commerce Advertisement Associate,Heterize Infotech Private Limited,Indore,"₹ 2,50,000 - 3,00,000","Digital Marketing, MS-Excel, Digital Advertising, Display Ads, Effective Communication, Paid Advertising, Digital Marketing Tools",1 day ago
Digital Marketing Associate,Safetrax - MTAP Technologies Private Limited,Delhi                                                                    (Hybrid),"₹ 2,00,000 - 3,00,000","Social Media Marketing, Digital Marketing, Facebook Marketing, Digital Advertising, Instagram Marketing, Marketing Campaigns",Today
Video Editor,TravelerWe,Manali,"₹ 3,00,000 - 4,20,000","Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making",Not Available
HR Recruiter,Skillkart,"Ambala, Amritsar, Chandigarh, Jalandhar, Ludhiana, Patiala, Mohali, Haryana, Himachal Pradesh","₹ 3,10,000","Interpersonal skills, Effective Communication",Few hours ago
